"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Ideal days","Original estimation","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G12-195","group1.2","Star","TO-DO: Crashed after refresh","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap kebab menu

2)Tap Refresh

Expected result:

Tasks list is refreshed

Actual result:

App crashes","0"
"G12-194","group1.2","Star","Edit TO-DO: changes are not saved","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap on created task

2)Tap Edit button

3)Input ""Task1"" in Title

4)Tap ""check mark""

Expected result: Changes are saved

Actual result: Returns to main screen with not saved changes","0"
"G12-196","group1.2","Star","GUI: Mistake in the writing word ""Edit""","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap Task

2)Tap Edit button

Expected result: ""Edit TO-DO""

Actual result: ""Edite TO-DO""","0"
"G12-181","group1.2","Star","Mobile Testing Documentation Aleksandr Kalita","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Normal","Epic","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)",,"0"
"G12-190","group1.2","Star","Add new TO-DO: Unable to create task with numbers in ""Enter your TO-DO here"" field""","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap create new to-do (""plus"" button)

2) Input ""Task"" in Title field

3)Input 222 in ""Enter your TO-DO here"" field

Expected result: Task is created with 222 in ""Enter your TO-DO here""

Actual result: Task is not created","0"
"G12-193","group1.2","Star","Add new TO-DO: Able to create tasks with same title","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap create new to-do (""plus"" button)

2)Create task with ""qwerty"" title

3)Create one more task with ""qwerty"" title

Expected result: ""Task with this title already exists"" error message

Actual result: Tasks with same title are created","0"
"G12-192","group1.2","Star","Add new TO-DO: Unable to go back from task creation screen","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap create new to-do (""plus"" button)

2) Tap ""Back"" button

Expected result: ""Back"" button redirects to previous screen

Actual result: Nothing happens","0"
"G12-191","group1.2","Star","Add new TO-DO: Unable to create task with special characters in ""Enter your TO-DO here"" field","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap create new to-do (""plus"" button)

2)Input ""Task"" in Title field

3)Input !!! in ""Enter your TO-DO here"" field

Expected result: Task is created with !!! in ""Enter your TO-DO here""

Actual result: Task is not created","0"
"G12-189","group1.2","Star","Add new TO-DO: Unable to create task with special characters in Title","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap create new to-do (""plus"" button)

2)Input ??? in Title field

Expected result: Task is created with title ""???""

Actual result: Task is not created","0"
"G12-188","group1.2","Star","Add new TO-DO: Unable to create task with numbers in Title","alex.kalita1991","11 Nov 2022","11 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"Huawei P30, Android v.12.0.0.134","No qase tc # (only for bug)","STR:

1)Tap create new to-do (""plus"" button)

2)Input 111 in Title field

Expected result: Task is created with title ""111""

Actual result: Task is not created","0"
